Collector,IP Address,Device Ip Numeric,Network View,Device Name,Type,Vendor,Model,Device Assurance,Site (Devices),Supervisor (Devices),IsInactive (Devices),IsForTesting (Devices)
phx-netmri-1,10.21.174.6,169192966,Salesforce_IT,ARN3-AXS-E,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.174.7,169192967,Salesforce_IT,ARN3-AXS-F,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.6.2.20,168165908,Salesforce_IT,SFO8-WLC-A_INT.nw.corp,Switch,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.192.204.220,180407516,Salesforce_IT,bom1-vsbc-a,Router,Cisco,C8000V,99,,,,
phx-netmri-1,10.192.204.221,180407517,Salesforce_IT,bom1-vsbc-b,Router,Cisco,C8000V,99,,,,
phx-netmri-1,10.151.32.1,177676289,Salesforce_IT,SYD4-axs-L1-B2,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.151.190.254,177716990,Salesforce_IT,syd4-sic-dst-a,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.141.37.1,177022209,Salesforce_IT,chi8-axs-56,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.6.82.250,168186618,Salesforce_IT,sfo8-sic-axs-45,Switch,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.84.1.50,173277490,Salesforce_IT,atl1-axs-32,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.76.96.103,172777575,Salesforce_IT,iad7-axs-3,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.141.190.246,177061622,Salesforce_IT,chi8-sic-axs-b1,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.141.190.249,177061625,Salesforce_IT,chi8-sic-axs-57,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.141.190.248,177061624,Salesforce_IT,chi8-sic-axs-56,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.141.190.247,177061623,Salesforce_IT,chi8-sic-axs-55,Switch-Router,Cisco,C9300-48UXM,99,,,,
